Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Start Training
Epoch   Loss           Accuracy  S_Conv1   S_Conv2   S_Class   Time
0001    000255.9525    0.1940    0.1811    0.6081    0.0079    29.0163
0002    000048.0023    0.1920    0.1808    0.6061    0.0029    35.3857
0003    000026.7583    0.2020    0.1846    0.6069    0.0016    29.0534
0004    000017.2371    0.2100    0.1816    0.6041    0.0008    28.7365
0005    000020.8744    0.1920    0.1820    0.6053    0.0016    28.9477
Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Start Training
Epoch   Loss           Accuracy  S_Conv1   S_Conv2   S_Class   Time
0001    000217.5443    0.2020    0.1847    0.6146    0.0033    29.5254
0002    000040.5257    0.1960    0.1883    0.6141    0.0014    29.0579
0003    000019.3716    0.2120    0.1884    0.6137    0.0001    29.1234
0004    000018.1131    0.2040    0.1925    0.6101    0.0008    29.2303
0005    000016.6979    0.1900    0.1885    0.6125    0.0011    29.3486
0006    000016.1649    0.2020    0.1882    0.6118    0.0007    29.2071
0007    000014.2678    0.2020    0.1888    0.6122    0.0001    29.0368
0008    000013.2044    0.1960    0.1885    0.6107    0.0000    29.4121
0009    000011.7898    0.2040    0.1894    0.6122    0.0001    28.8204
0010    000014.3342    0.2000    0.1887    0.6087    0.0000    29.3601
0011    000013.8960    0.1980    0.1896    0.6097    0.0003    29.2814
0012    000013.7361    0.2000    0.1910    0.6069    0.0004    29.2284
0013    000013.3131    0.2000    0.1897    0.6092    0.0002    29.1510
0014    000012.5679    0.2020    0.1892    0.6094    0.0000    29.0424
0015    000011.3464    0.2020    0.1897    0.6085    0.0000    29.2974
0016    000013.6554    0.2000    0.1899    0.6087    0.0004    29.1632
0017    000013.0889    0.2020    0.1889    0.6090    0.0000    29.1705
0018    000011.9599    0.2020    0.1897    0.6090    0.0003    29.2920
0019    000012.9182    0.2000    0.1888    0.6103    0.0000    29.3121
0020    000012.3572    0.1960    0.1939    0.6185    0.0000    29.1942
0021    000013.4735    0.1940    0.1895    0.6089    0.0002    29.6852
0022    000012.4707    0.2040    0.1897    0.6095    0.0000    29.2467
0023    000012.8765    0.1940    0.1897    0.6100    0.0000    29.3207
0024    000012.0891    0.2060    0.1898    0.6099    0.0001    29.1039
0025    000011.5611    0.1980    0.1898    0.6094    0.0000    29.0532
0026    000012.2823    0.2020    0.1902    0.6092    0.0000    29.4748
0027    000013.1737    0.2000    0.1899    0.6099    0.0000    29.5291
0028    000011.5547    0.1980    0.1900    0.6095    0.0000    29.1638
0029    000011.7408    0.1980    0.1900    0.6080    0.0000    29.3277
0030    000011.7015    0.2000    0.1899    0.6073    0.0000    29.4814
0031    000011.2214    0.2040    0.1910    0.6072    0.0000    29.3896
0032    000011.4079    0.1980    0.1902    0.6075    0.0000    29.8255
0033    000012.6712    0.2000    0.1900    0.6074    0.0000    29.1189
0034    000011.5160    0.2060    0.1910    0.6070    0.0000    28.8959
0035    000011.7546    0.2000    0.1899    0.6077    0.0000    29.5032
0036    000011.5327    0.2020    0.1891    0.6066    0.0000    29.1377
0037    000011.7987    0.2000    0.1903    0.6075    0.0000    29.6669
0038    000011.7909    0.2020    0.1902    0.6079    0.0000    29.6768
0039    000012.2385    0.1980    0.1899    0.6066    0.0005    29.4182
0040    000011.3867    0.2020    0.1908    0.6081    0.0000    29.4398
0041    000012.0964    0.1980    0.1894    0.6065    0.0000    29.0730
0042    000011.8439    0.1960    0.1898    0.6072    0.0001    29.0924
0043    000011.6519    0.2020    0.1899    0.6067    0.0000    30.2701
0044    000011.3548    0.1980    0.1901    0.6070    0.0000    29.4311
0045    000012.1211    0.1960    0.1907    0.6078    0.0000    29.7036
0046    000011.3135    0.1980    0.1899    0.6074    0.0000    29.3873
0047    000011.3602    0.2020    0.1901    0.6075    0.0000    28.9747
0048    000011.3186    0.2020    0.1899    0.6077    0.0000    28.9448
0049    000011.2661    0.2000    0.1903    0.6073    0.0000    29.4180
0050    000011.2661    0.2000    0.1898    0.6070    0.0000    29.2490
0051    000011.2661    0.2000    0.1903    0.6076    0.0000    29.6520
0052    000011.8254    0.1980    0.1894    0.6068    0.0003    29.0036
0053    000011.2661    0.2000    0.1904    0.6074    0.0000    29.0534
0054    000011.2661    0.2000    0.1906    0.6072    0.0000    29.3025
0055    000011.6048    0.2000    0.1893    0.6070    0.0000    29.2866
0056    000011.2437    0.2020    0.1898    0.6077    0.0000    29.3077
0057    000011.5584    0.1980    0.1908    0.6079    0.0001    29.5462
0058    000011.2661    0.2000    0.1910    0.6076    0.0000    29.3479
0059    000011.4659    0.2000    0.1899    0.6076    0.0000    29.0254
0060    000011.6465    0.2000    0.1900    0.6072    0.0000    29.2316
0061    000011.2702    0.2000    0.1902    0.6067    0.0000    29.0550
0062    000011.4798    0.2000    0.1901    0.6068    0.0000    29.1432
0063    000011.2437    0.2020    0.1900    0.6062    0.0000    29.5151
0064    000011.5744    0.2020    0.1897    0.6065    0.0000    29.3169
0065    000011.2816    0.2000    0.1891    0.6060    0.0000    29.2282
0066    000012.1499    0.2020    0.1903    0.6066    0.0000    29.0310
0067    000011.2661    0.2000    0.1897    0.6066    0.0000    29.8547
0068    000011.2661    0.2000    0.1901    0.6061    0.0000    29.0033
0069    000011.2661    0.2000    0.1907    0.6066    0.0000    29.2769
0070    000011.2661    0.2000    0.1897    0.6055    0.0000    29.1358
0071    000011.2661    0.2000    0.1905    0.6063    0.0000    29.1551
0072    000011.8107    0.1980    0.1892    0.6064    0.0000    29.3661
0073    000011.2661    0.2000    0.1890    0.6067    0.0000    29.2770
0074    000011.2702    0.1980    0.1899    0.6063    0.0000    29.2654
0075    000011.4382    0.1980    0.1896    0.6065    0.0000    29.1365
0076    000011.3687    0.2000    0.1918    0.6037    0.0000    29.3245
0077    000011.2661    0.2000    0.1920    0.6051    0.0000    29.6081
