Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Start Training
Epoch   Loss           Accuracy  S_Conv1   S_Conv2   S_Class   Time
0001    000245.9924    0.1940    0.1840    0.6175    0.0057    29.9839
0002    000031.4147    0.1880    0.1809    0.6141    0.0009    29.2315
0003    000023.7689    0.1840    0.1834    0.6163    0.0000    29.1117
0004    000016.9993    0.2040    0.1835    0.6191    0.0008    29.1328
0005    000018.7598    0.1920    0.1831    0.6174    0.0008    29.0955
Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Start Training
Epoch   Loss           Accuracy  S_Conv1   S_Conv2   S_Class   Time
0001    000227.8506    0.2920    0.1885    0.6183    0.0064    28.9398
0002    000034.3278    0.3620    0.1835    0.6163    0.0010    29.2666
0003    000022.4435    0.3860    0.1882    0.6158    0.0011    29.4869
0004    000020.3167    0.3800    0.1884    0.6167    0.0006    29.2847
0005    000017.9865    0.3840    0.1900    0.6204    0.0009    28.8814
0006    000017.3973    0.3920    0.1889    0.6144    0.0001    29.3080
0007    000013.9031    0.3960    0.1871    0.6149    0.0005    29.3639
0008    000013.3571    0.3920    0.1885    0.6147    0.0000    29.2798
0009    000014.2327    0.3920    0.1886    0.6132    0.0000    29.0779
0010    000012.7516    0.3980    0.1892    0.6132    0.0000    29.1410
0011    000013.1160    0.3960    0.1852    0.6132    0.0008    29.2221
0012    000011.6669    0.4000    0.1874    0.6145    0.0002    29.2524
0013    000012.4780    0.3940    0.1848    0.6131    0.0003    29.0949
0014    000013.7409    0.3960    0.1898    0.6148    0.0001    28.7969
0015    000012.9163    0.3900    0.1873    0.6130    0.0000    29.2339
0016    000013.0069    0.3960    0.1896    0.6121    0.0000    29.2482
0017    000011.5404    0.4000    0.1889    0.6125    0.0006    29.3145
0018    000011.9923    0.3960    0.1880    0.6132    0.0000    29.3760
0019    000012.9928    0.3960    0.1882    0.6126    0.0002    29.3263
0020    000011.9128    0.4000    0.1875    0.6130    0.0003    28.7603
0021    000011.7116    0.4020    0.1867    0.6128    0.0003    29.4412
0022    000012.6404    0.3960    0.1884    0.6140    0.0000    29.5573
0023    000011.8672    0.3940    0.1941    0.6178    0.0002    29.1782
0024    000012.3371    0.3960    0.1877    0.6126    0.0001    29.0667
0025    000012.2625    0.4000    0.1853    0.6100    0.0000    29.1536
0026    000012.5379    0.3980    0.1871    0.6132    0.0000    28.8952
0027    000012.0796    0.3960    0.1901    0.6113    0.0002    29.1055
0028    000013.2173    0.3940    0.1884    0.6121    0.0002    29.6157
0029    000011.9777    0.3980    0.1891    0.6113    0.0005    28.9971
0030    000011.2702    0.3980    0.1852    0.6116    0.0000    29.6407
0031    000012.4153    0.3960    0.1849    0.6117    0.0002    29.2406
0032    000011.2779    0.4020    0.1899    0.6114    0.0000    29.5737
0033    000011.9156    0.3920    0.1856    0.6190    0.0000    29.1689
0034    000011.5294    0.3960    0.1872    0.6133    0.0000    29.0015
0035    000011.3741    0.4000    0.1863    0.6129    0.0000    29.3595
0036    000011.2896    0.3980    0.1901    0.6114    0.0000    29.1924
0037    000012.0173    0.4000    0.1900    0.6108    0.0000    29.3471
0038    000011.4382    0.3980    0.1921    0.6101    0.0000    29.3141
0039    000011.5512    0.4000    0.1916    0.6104    0.0002    28.9188
0040    000011.2661    0.4000    0.1883    0.6116    0.0000    29.0709
0041    000011.6712    0.3980    0.1884    0.6113    0.0000    29.1982
0042    000011.2661    0.4000    0.1885    0.6113    0.0000    28.8523
0043    000012.2376    0.4000    0.1908    0.6100    0.0000    29.4820
0044    000011.6134    0.3980    0.1859    0.6111    0.0002    29.2154
0045    000011.7835    0.3980    0.1891    0.6115    0.0000    29.1384
0046    000011.6048    0.4000    0.1890    0.6109    0.0000    29.5487
0047    000011.7159    0.3980    0.1885    0.6114    0.0000    29.2627
0048    000012.2630    0.3960    0.1892    0.6113    0.0000    28.9978
0049    000011.9019    0.3980    0.1885    0.6113    0.0000    29.4459
0050    000011.9104    0.3980    0.1890    0.6113    0.0000    29.2694
0051    000011.3826    0.4000    0.1876    0.6105    0.0000    28.8921
0052    000011.4298    0.3960    0.1903    0.6101    0.0000    29.0603
0053    000011.8606    0.3960    0.1880    0.6106    0.0002    29.3432
0054    000011.5354    0.4000    0.1900    0.6105    0.0000    29.3965
0055    000011.6659    0.4000    0.1887    0.6107    0.0000    29.0779
0056    000011.8186    0.3960    0.1880    0.6103    0.0000    28.9167
0057    000011.2661    0.4000    0.1888    0.6104    0.0000    29.3757
0058    000011.3135    0.4000    0.1877    0.6099    0.0000    29.0270
0059    000011.2661    0.4000    0.1885    0.6094    0.0000    28.9841
0060    000011.2661    0.4000    0.1881    0.6107    0.0000    29.4631
0061    000011.2437    0.4020    0.1882    0.6097    0.0000    29.3647
0062    000011.4382    0.3980    0.1890    0.6094    0.0000    29.4143
0063    000011.5307    0.3960    0.1901    0.6097    0.0000    29.4211
0064    000012.4768    0.3960    0.1877    0.6093    0.0000    29.2108
0065    000011.4991    0.3980    0.1880    0.6081    0.0000    29.3422
0066    000011.2661    0.4000    0.1881    0.6087    0.0000    29.2457
0067    000012.1936    0.3980    0.1874    0.6090    0.0000    29.3210
0068    000011.2661    0.4000    0.1871    0.6096    0.0000    29.0050
0069    000011.2655    0.4000    0.1879    0.6097    0.0000    29.4886
0070    000012.2824    0.3980    0.1888    0.6102    0.0000    29.1420
0071    000011.7908    0.3980    0.1883    0.6099    0.0000    29.4926
0072    000011.8548    0.3980    0.1875    0.6101    0.0000    28.9558
0073    000011.7075    0.3960    0.1880    0.6098    0.0000    29.0761
0074    000011.6241    0.3960    0.1862    0.6092    0.0000    28.9483
0075    000011.7576    0.3980    0.1858    0.6097    0.0000    29.2335
0076    000011.4691    0.3980    0.1855    0.6086    0.0002    29.6357
0077    000011.9660    0.4000    0.1900    0.6072    0.0003    29.0129
0078    000011.4382    0.3980    0.1866    0.6095    0.0000    29.7463
0079    000011.2775    0.4000    0.1857    0.6078    0.0000    29.3349
0080    000011.2661    0.4000    0.1860    0.6087    0.0000    29.1893
0081    000011.2661    0.4000    0.1862    0.6083    0.0000    29.2778
