Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Start Training
Epoch   Loss           Accuracy  S_Conv1   S_Conv2   S_Class   Time
0001    000252.1870    0.1840    0.1796    0.6095    0.0065    28.9880
0002    000030.0352    0.1920    0.1820    0.6095    0.0008    35.9178
0003    000020.0150    0.1980    0.1830    0.6106    0.0006    29.4150
0004    000020.1218    0.1880    0.1848    0.6138    0.0008    29.2445
Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Start Training
Epoch   Loss           Accuracy  S_Conv1   S_Conv2   S_Class   Time
0001    000266.3245    0.1880    0.1827    0.6122    0.0098    29.7111
0002    000041.0665    0.2020    0.1864    0.6018    0.0039    29.6761
0003    000028.9982    0.2020    0.1839    0.6093    0.0033    29.4771
0004    000018.1325    0.1940    0.1875    0.6105    0.0008    29.5744
0005    000015.5531    0.1920    0.1868    0.6107    0.0000    29.0698
0006    000014.2426    0.1980    0.1879    0.6118    0.0005    29.4969
0007    000014.6277    0.1960    0.1865    0.6088    0.0011    29.2324
0008    000011.9821    0.2060    0.1876    0.6090    0.0000    29.3208
0009    000013.2311    0.1940    0.1867    0.6086    0.0004    29.1169
0010    000012.8800    0.2020    0.1859    0.6080    0.0003    29.4283
0011    000013.0460    0.2020    0.1899    0.6103    0.0007    28.8727
0012    000013.9004    0.1980    0.1876    0.6074    0.0006    29.5747
0013    000011.9212    0.2000    0.1877    0.6080    0.0000    29.6544
0014    000012.9921    0.2000    0.1876    0.6068    0.0001    29.2813
0015    000012.2426    0.2000    0.1869    0.6072    0.0000    29.2006
0016    000012.2837    0.1980    0.1872    0.6076    0.0000    29.4415
0017    000012.8945    0.1980    0.1873    0.6069    0.0002    29.0976
0018    000013.1179    0.1980    0.1870    0.6069    0.0007    29.0879
0019    000011.5879    0.2020    0.1881    0.6058    0.0000    29.3508
0020    000011.6851    0.2000    0.1878    0.6065    0.0000    29.2897
0021    000012.2336    0.2000    0.1900    0.6128    0.0003    29.8487
0022    000012.2823    0.2000    0.1889    0.6080    0.0000    29.5478
0023    000012.5904    0.2000    0.1880    0.6087    0.0001    29.1110
0024    000011.2552    0.2020    0.1881    0.6090    0.0000    29.3175
0025    000011.5506    0.2000    0.1882    0.6064    0.0000    29.1281
0026    000012.0272    0.1980    0.1873    0.6071    0.0002    29.3749
0027    000011.9112    0.2020    0.1875    0.6082    0.0005    29.0559
0028    000011.5632    0.2000    0.1869    0.6074    0.0000    29.5653
0029    000011.7685    0.2020    0.1869    0.6069    0.0000    28.9865
0030    000011.7587    0.1960    0.1875    0.6074    0.0001    28.9156
0031    000011.7685    0.1980    0.1911    0.6083    0.0000    29.0375
0032    000011.2661    0.2000    0.1915    0.6090    0.0000    29.3840
0033    000012.4000    0.1960    0.1879    0.6063    0.0002    29.3525
0034    000011.8069    0.1980    0.1876    0.6092    0.0001    29.6222
0035    000011.9393    0.2020    0.1922    0.6076    0.0006    29.2098
0036    000012.2143    0.2000    0.1894    0.6094    0.0009    29.1179
0037    000011.8796    0.1980    0.1901    0.6079    0.0000    29.1694
0038    000012.0989    0.2000    0.1880    0.6059    0.0000    29.3262
0039    000011.4023    0.2020    0.1877    0.6068    0.0000    29.4122
0040    000011.3410    0.2000    0.1875    0.6064    0.0000    29.7213
0041    000011.2661    0.2000    0.1877    0.6057    0.0000    29.0742
0042    000011.8687    0.2000    0.1885    0.6063    0.0000    29.1579
0043    000012.1018    0.1980    0.1880    0.6067    0.0000    29.8006
0044    000011.6708    0.1980    0.1882    0.6070    0.0002    29.4898
0045    000011.2661    0.2000    0.1889    0.6070    0.0000    29.9287
0046    000011.3464    0.2000    0.1880    0.6075    0.0000    29.5739
0047    000012.2249    0.1980    0.1877    0.6047    0.0004    29.3110
0048    000011.3002    0.2000    0.1877    0.6044    0.0000    29.1659
0049    000011.6506    0.2020    0.1871    0.6040    0.0002    29.2896
0050    000011.8325    0.1980    0.1879    0.6042    0.0000    29.4805
0051    000011.7492    0.1980    0.1902    0.6062    0.0000    29.3551
0052    000012.6438    0.1980    0.1883    0.6048    0.0005    29.4251
0053    000011.2661    0.2000    0.1871    0.6047    0.0000    28.9424
0054    000011.3826    0.2000    0.1876    0.6046    0.0000    29.5472
0055    000011.2264    0.2040    0.1887    0.6048    0.0000    29.0898
0056    000011.5493    0.2000    0.1890    0.6085    0.0000    29.3718
0057    000011.2214    0.2040    0.1902    0.6088    0.0000    29.2315
0058    000011.6493    0.2020    0.1889    0.6086    0.0004    29.5764
0059    000011.3135    0.2000    0.1872    0.6046    0.0000    28.9834
0060    000011.5860    0.1960    0.1875    0.6031    0.0000    29.3518
0061    000011.4798    0.1980    0.1883    0.6034    0.0000    29.0891
0062    000011.4104    0.2000    0.1880    0.6046    0.0000    29.4454
0063    000011.7020    0.2000    0.1876    0.6038    0.0000    29.2116
0064    000011.8088    0.2020    0.1885    0.6061    0.0002    29.2760
0065    000011.5472    0.2020    0.1881    0.6040    0.0000    29.5073
0066    000011.2661    0.2000    0.1885    0.6040    0.0000    29.3749
0067    000011.2661    0.2000    0.1883    0.6040    0.0000    29.1035
0068    000011.4243    0.1980    0.1894    0.6058    0.0000    29.6691
0069    000012.0325    0.1980    0.1870    0.6030    0.0000    29.0784
0070    000011.7630    0.1960    0.1883    0.6036    0.0000    29.0456
0071    000011.6986    0.2000    0.1883    0.6035    0.0002    29.4051
0072    000011.9085    0.2000    0.1913    0.6046    0.0002    29.2707
0073    000011.7908    0.2000    0.1913    0.6072    0.0000    29.3680
0074    000011.6326    0.1980    0.1901    0.6072    0.0000    29.2620
0075    000011.4104    0.1980    0.1903    0.6069    0.0000    29.4048
0076    000011.2661    0.2000    0.1899    0.6071    0.0000    29.6419
0077    000011.2255    0.2020    0.1900    0.6070    0.0000    29.0651
0078    000011.2437    0.2020    0.1889    0.6065    0.0000    29.1402
0079    000011.3272    0.2000    0.1909    0.6071    0.0000    29.0907
0080    000011.4382    0.2000    0.1903    0.6074    0.0000    29.2465
0081    000011.2661    0.2000    0.1910    0.6066    0.0000    29.1180
0082    000011.4520    0.2000    0.1926    0.6037    0.0000    29.2260
0083    000011.7130    0.1980    0.1909    0.6071    0.0003    29.5819
0084    000011.2661    0.2000    0.1904    0.6077    0.0000    29.4085
0085    000011.6187    0.2000    0.1904    0.6074    0.0000    29.4063
0086    000011.2661    0.2000    0.1896    0.6073    0.0000    29.1226
0087    000011.2661    0.2000    0.1900    0.6072    0.0000    29.7520
0088    000011.2702    0.2000    0.1896    0.6072    0.0000    29.5976
0089    000011.2661    0.2000    0.1905    0.6072    0.0000    29.5874
0090    000011.6542    0.2000    0.1893    0.6068    0.0003    29.3431
0091    000011.2661    0.2000    0.1899    0.6071    0.0000    28.9738
0092    000011.6882    0.2000    0.1900    0.6075    0.0000    29.5544
0093    000011.2661    0.2000    0.1902    0.6069    0.0000    29.3245
