Namespace(alpha=2, batch_size=138, burnin=30, conv_bias=True, dataset='DNMNIST', delta_t=1, downsampling=2, epochs=401, fc_bias=True, init_gain_aux=1e-10, init_gain_conv1=1e-10, init_gain_conv2=1e-10, init_gain_conv3=1e-10, init_gain_fc=1e-10, k1=7, k2=7, k3=7, log_int=5, logfile=True, lr=1e-12, lr_div=20, n_train=64, oc1=32, oc2=64, oc3=64, padding=2, save_int=5, self_supervision=True, tau_mem_high=35, tau_mem_low=35, tau_ref_high=2.5, tau_ref_low=2.5, tau_syn_high=10, tau_syn_low=10, thr=0.0, train_samples=125, train_tau=False)
Namespace(alpha=2, batch_size=138, burnin=30, conv_bias=True, dataset='DNMNIST', delta_t=1, downsampling=2, epochs=401, fc_bias=True, init_gain_aux=1e-10, init_gain_conv1=1e-10, init_gain_conv2=1e-10, init_gain_conv3=1e-10, init_gain_fc=1e-10, k1=7, k2=7, k3=7, log_int=5, logfile=True, lr=1e-12, lr_div=20, n_train=64, oc1=32, oc2=64, oc3=64, padding=2, save_int=5, self_supervision=True, tau_mem_high=35, tau_mem_low=35, tau_ref_high=2.5, tau_ref_low=2.5, tau_syn_high=10, tau_syn_low=10, thr=0.0, train_samples=125, train_tau=False)
Start Manifold Training Backbone
27a2897d-67b3-4d00-a197-85d8996148fd
Epoch 3 | Batch 25/58 | Loss 10.2288 | Rotate Loss 1.1935 | Accuracy 1.505017/1.523046 | Rotate Accuracy 53.5396 | Time 14.0955
Epoch 3 | Batch 30/58 | Loss 10.1605 | Rotate Loss 1.1730 | Accuracy 1.589528/1.522647 | Rotate Accuracy 54.3011 | Time 14.2245
Epoch 3 | Batch 35/58 | Loss 10.1451 | Rotate Loss 1.2455 | Accuracy 1.509662/1.505731 | Rotate Accuracy 53.5024 | Time 14.1713
Epoch 3 | Batch 40/58 | Loss 10.2105 | Rotate Loss 1.3862 | Accuracy 1.431601/1.492184 | Rotate Accuracy 51.7144 | Time 14.1937
Epoch 3 | Batch 45/58 | Loss 10.2397 | Rotate Loss 1.4407 | Accuracy 1.386263/1.524846 | Rotate Accuracy 50.7876 | Time 14.1745
Epoch 3 | Batch 50/58 | Loss 10.2402 | Rotate Loss 1.4463 | Accuracy 1.364024/1.531532 | Rotate Accuracy 50.9093 | Time 14.0818
Epoch 3 | Batch 55/58 | Loss 10.2045 | Rotate Loss 1.4131 | Accuracy 1.371636/1.482070 | Rotate Accuracy 51.1775 | Time 14.2191
Epoch 3 : Accuracy 1.637500, Rotate Accuracy 56.175000, Time 1617.675382
Epoch 4 | Batch 0/58 | Loss 9.7851 | Rotate Loss 1.0560 | Accuracy 1.449275/2.248681 | Rotate Accuracy 60.1449 | Time 14.2600
Epoch 4 | Batch 5/58 | Loss 10.0432 | Rotate Loss 1.3352 | Accuracy 1.449275/2.109728 | Rotate Accuracy 59.4203 | Time 14.1954
Epoch 4 | Batch 10/58 | Loss 10.1291 | Rotate Loss 1.5426 | Accuracy 1.515152/2.155792 | Rotate Accuracy 56.8511 | Time 14.1117
Epoch 4 | Batch 15/58 | Loss 10.0236 | Rotate Loss 1.3485 | Accuracy 1.856884/1.977212 | Rotate Accuracy 58.1069 | Time 14.2587
