Namespace(alpha=2, batch_size=138, burnin=30, conv_bias=True, dataset='DNMNIST', delta_t=1, downsampling=2, epochs=401, fc_bias=True, init_gain_aux=1e-10, init_gain_conv1=1e-10, init_gain_conv2=1e-10, init_gain_conv3=1e-10, init_gain_fc=1e-10, k1=7, k2=7, k3=7, log_int=5, logfile=True, lr=5e-13, lr_div=60, n_train=64, oc1=32, oc2=64, oc3=64, padding=2, save_int=5, self_supervision=True, spike_reg=True, tau_mem_high=35, tau_mem_low=35, tau_ref_high=2.5, tau_ref_low=2.5, tau_syn_high=10, tau_syn_low=10, thr=0.0, train_samples=125, train_tau=False)
Namespace(alpha=2, batch_size=138, burnin=30, conv_bias=True, dataset='DNMNIST', delta_t=1, downsampling=2, epochs=401, fc_bias=True, init_gain_aux=1e-10, init_gain_conv1=1e-10, init_gain_conv2=1e-10, init_gain_conv3=1e-10, init_gain_fc=1e-10, k1=7, k2=7, k3=7, log_int=5, logfile=True, lr=5e-13, lr_div=60, n_train=64, oc1=32, oc2=64, oc3=64, padding=2, save_int=5, self_supervision=True, spike_reg=True, tau_mem_high=35, tau_mem_low=35, tau_ref_high=2.5, tau_ref_low=2.5, tau_syn_high=10, tau_syn_low=10, thr=0.0, train_samples=125, train_tau=False)
Start Manifold Training Backbone
db122d8b-efb6-447b-9023-30299c8e1851
Epoch 3 | Batch 25/58 | Loss 9.4960 | Rotate Loss 0.8352 | Accuracy 1.226310/1.528281 | Rotate Accuracy 62.6254 | Time 14.0789
Epoch 3 | Batch 30/58 | Loss 9.3935 | Rotate Loss 0.8253 | Accuracy 1.262272/1.494003 | Rotate Accuracy 63.0435 | Time 14.1356
Epoch 3 | Batch 35/58 | Loss 9.2910 | Rotate Loss 0.8138 | Accuracy 1.328502/1.491821 | Rotate Accuracy 63.4259 | Time 14.2190
Epoch 3 | Batch 40/58 | Loss 9.2807 | Rotate Loss 0.7960 | Accuracy 1.413927/1.564988 | Rotate Accuracy 64.0509 | Time 14.0649
Epoch 3 | Batch 45/58 | Loss 9.2645 | Rotate Loss 0.8009 | Accuracy 1.370510/1.571417 | Rotate Accuracy 63.7209 | Time 14.1762
Epoch 3 | Batch 50/58 | Loss 9.2634 | Rotate Loss 0.8033 | Accuracy 1.364024/1.665550 | Rotate Accuracy 63.7113 | Time 14.1155
Epoch 3 | Batch 55/58 | Loss 9.3012 | Rotate Loss 0.7974 | Accuracy 1.319876/1.689596 | Rotate Accuracy 64.0140 | Time 14.1276
Epoch 3 : Accuracy 1.575000, Rotate Accuracy 54.500000, Time 1616.914213
Epoch 4 | Batch 0/58 | Loss 10.1948 | Rotate Loss 1.0277 | Accuracy 0.724638/0.724638 | Rotate Accuracy 58.6957 | Time 14.3049
Epoch 4 | Batch 5/58 | Loss 10.4518 | Rotate Loss 1.3633 | Accuracy 1.328502/2.361187 | Rotate Accuracy 53.8647 | Time 14.0537
Epoch 4 | Batch 10/58 | Loss 10.5297 | Rotate Loss 1.2837 | Accuracy 1.581028/2.046404 | Rotate Accuracy 56.2582 | Time 14.1315
Epoch 4 | Batch 15/58 | Loss 10.4351 | Rotate Loss 1.1935 | Accuracy 1.811594/2.029874 | Rotate Accuracy 59.1486 | Time 14.0998
Epoch 4 | Batch 20/58 | Loss 10.1272 | Rotate Loss 1.1062 | Accuracy 1.552795/1.805796 | Rotate Accuracy 60.1104 | Time 14.0636
Epoch 4 | Batch 25/58 | Loss 9.9171 | Rotate Loss 1.0423 | Accuracy 1.532887/1.734862 | Rotate Accuracy 61.0089 | Time 14.1630
Epoch 4 | Batch 30/58 | Loss 9.7247 | Rotate Loss 0.9818 | Accuracy 1.589528/1.789235 | Rotate Accuracy 62.3890 | Time 14.1943
Epoch 4 | Batch 35/58 | Loss 9.6253 | Rotate Loss 0.9371 | Accuracy 1.751208/1.875384 | Rotate Accuracy 63.6876 | Time 14.1006
Epoch 4 | Batch 40/58 | Loss 9.5222 | Rotate Loss 0.8931 | Accuracy 1.767409/1.868091 | Rotate Accuracy 64.4397 | Time 14.1472
Epoch 4 | Batch 45/58 | Loss 9.4223 | Rotate Loss 0.8482 | Accuracy 1.843100/1.896853 | Rotate Accuracy 65.5009 | Time 14.1549
Epoch 4 | Batch 50/58 | Loss 9.3731 | Rotate Loss 0.8238 | Accuracy 1.790281/1.827236 | Rotate Accuracy 66.0841 | Time 14.0874
Epoch 4 | Batch 55/58 | Loss 9.3263 | Rotate Loss 0.8084 | Accuracy 1.798654/1.794514 | Rotate Accuracy 66.1620 | Time 14.0863
Epoch 4 : Accuracy 1.787500, Rotate Accuracy 69.587500, Time 1617.263310
Epoch 5 | Batch 0/58 | Loss 9.1870 | Rotate Loss 0.7735 | Accuracy 2.898551/2.235872 | Rotate Accuracy 64.4928 | Time 14.1432
Epoch 5 | Batch 5/58 | Loss 9.2665 | Rotate Loss 0.7172 | Accuracy 2.173913/1.909841 | Rotate Accuracy 67.5121 | Time 14.1132
Epoch 5 | Batch 10/58 | Loss 9.1133 | Rotate Loss 0.6793 | Accuracy 2.173913/2.114668 | Rotate Accuracy 69.0382 | Time 14.0963
Epoch 5 | Batch 15/58 | Loss 9.0471 | Rotate Loss 0.6946 | Accuracy 1.947464/2.100395 | Rotate Accuracy 67.8442 | Time 14.1448
Epoch 5 | Batch 20/58 | Loss 9.1271 | Rotate Loss 0.7142 | Accuracy 1.690821/2.041969 | Rotate Accuracy 68.1850 | Time 14.2768
Epoch 5 | Batch 25/58 | Loss 9.1727 | Rotate Loss 0.6910 | Accuracy 1.672241/1.976935 | Rotate Accuracy 68.1159 | Time 14.0496
Epoch 5 | Batch 30/58 | Loss 9.2526 | Rotate Loss 0.6706 | Accuracy 1.916784/1.907232 | Rotate Accuracy 68.6536 | Time 14.1169
Epoch 5 | Batch 35/58 | Loss 9.2420 | Rotate Loss 0.6622 | Accuracy 1.811594/1.812470 | Rotate Accuracy 68.5185 | Time 14.1733
Epoch 5 | Batch 40/58 | Loss 9.1901 | Rotate Loss 0.6550 | Accuracy 1.838105/1.828226 | Rotate Accuracy 68.6285 | Time 14.1008
Epoch 5 | Batch 45/58 | Loss 9.1502 | Rotate Loss 0.6417 | Accuracy 1.921865/1.828728 | Rotate Accuracy 69.1399 | Time 14.0740
Epoch 5 | Batch 50/58 | Loss 9.1307 | Rotate Loss 0.6309 | Accuracy 1.903950/1.911686 | Rotate Accuracy 69.4089 | Time 14.1648
Epoch 5 | Batch 55/58 | Loss 9.0914 | Rotate Loss 0.6159 | Accuracy 1.915114/1.888241 | Rotate Accuracy 69.9793 | Time 14.0549
Epoch 5 : Accuracy 1.825000, Rotate Accuracy 73.512500, Time 1609.651506
Epoch 6 | Batch 0/58 | Loss 8.7624 | Rotate Loss 0.5521 | Accuracy 0.724638/1.617415 | Rotate Accuracy 71.7391 | Time 14.3256
Epoch 6 | Batch 5/58 | Loss 8.9904 | Rotate Loss 0.6561 | Accuracy 1.570048/2.003275 | Rotate Accuracy 71.8599 | Time 14.1529
Epoch 6 | Batch 10/58 | Loss 9.0535 | Rotate Loss 0.7140 | Accuracy 1.581028/1.689529 | Rotate Accuracy 70.7510 | Time 14.1607
