Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Start Training
Epoch   Loss           Accuracy  S_Conv1   S_Conv2   S_Class   Time
0041    000008.2938    0.2525    0.2117    0.5639    0.9667    23.6404
0042    000008.6123    0.2575    0.2132    0.5654    0.9658    24.1462
0043    000009.1066    0.2575    0.2105    0.5597    0.9667    23.8634
0044    000009.8440    0.2500    0.2118    0.5625    0.9663    23.6257
0045    000009.9787    0.2525    0.2114    0.5602    0.9657    24.1666
0046    000008.3772    0.2500    0.2117    0.5611    0.9667    24.1579
0047    000008.2828    0.2550    0.2124    0.5642    0.9663    23.8639
0048    000009.1152    0.2550    0.2123    0.5647    0.9667    24.1801
0049    000009.7399    0.2425    0.2139    0.5585    0.9665    23.9481
0050    000009.5043    0.2575    0.2121    0.5612    0.9664    24.1399
0051    000008.6113    0.2500    0.2109    0.5599    0.9667    23.8906
0052    000008.9588    0.2525    0.2118    0.5580    0.9660    24.0578
0053    000008.3018    0.2525    0.2097    0.5599    0.9667    23.4174
0054    000008.2882    0.2600    0.2129    0.5598    0.9663    24.4886
0055    000009.3673    0.2550    0.2122    0.5606    0.9667    24.2932
0056    000009.3491    0.2500    0.2139    0.5584    0.9643    24.3927
0057    000008.4091    0.2525    0.2114    0.5645    0.9667    24.0046
0058    000010.0033    0.2450    0.2107    0.5547    0.9661    23.7684
0059    000009.9776    0.2475    0.2072    0.5540    0.9654    24.1673
0060    000009.9229    0.2500    0.2099    0.5521    0.9644    24.0203
0061    000009.0933    0.2475    0.2097    0.5525    0.9667    23.9556
0062    000008.8930    0.2500    0.2112    0.5511    0.9664    24.2805
0063    000009.2194    0.2450    0.2116    0.5514    0.9658    23.9393
0064    000008.2555    0.2550    0.2105    0.5525    0.9661    24.1901
0065    000008.5991    0.2475    0.2087    0.5529    0.9667    23.8861
0066    000009.5962    0.2450    0.2099    0.5524    0.9659    23.6280
0067    000008.5356    0.2525    0.2125    0.5444    0.9664    24.0226
0068    000010.4774    0.2500    0.2107    0.5434    0.9659    23.9954
0069    000009.5281    0.2500    0.2119    0.5453    0.9658    24.2947
0070    000008.7980    0.2500    0.2129    0.5445    0.9660    23.7709
0071    000008.8291    0.2500    0.2144    0.5504    0.9654    24.0604
0072    000008.5592    0.2500    0.2144    0.5502    0.9645    23.7879
0073    000008.9348    0.2475    0.2151    0.5507    0.9667    24.1788
0074    000009.0699    0.2475    0.2136    0.5496    0.9662    24.1347
0075    000009.2122    0.2475    0.2172    0.5492    0.9666    24.0009
0076    000008.4903    0.2500    0.2166    0.5460    0.9667    24.3156
0077    000008.3098    0.2525    0.2174    0.5466    0.9667    24.4650
0078    000008.7001    0.2525    0.2121    0.5506    0.9665    23.7705
0079    000008.3058    0.2500    0.2157    0.5486    0.9667    23.9198
0080    000008.6675    0.2500    0.2128    0.5507    0.9667    24.1939
0081    000009.3180    0.2475    0.2153    0.5515    0.9663    24.1450
0082    000008.9006    0.2425    0.2134    0.5498    0.9666    23.8568
0083    000008.3141    0.2500    0.2146    0.5551    0.9665    24.2293
0084    000008.9335    0.2525    0.2131    0.5421    0.9663    24.0131
0085    000008.5260    0.2500    0.2131    0.5450    0.9667    24.1311
0086    000008.3043    0.2500    0.2122    0.5450    0.9653    24.4207
0087    000008.3058    0.2500    0.2136    0.5438    0.9667    24.0805
0088    000009.2548    0.2500    0.2166    0.5542    0.9660    23.8943
0089    000008.2938    0.2500    0.2182    0.5551    0.9667    23.5750
0090    000008.3018    0.2500    0.2171    0.5546    0.9667    23.9860
0091    000008.3018    0.2500    0.2171    0.5545    0.9667    24.0223
0092    000008.3098    0.2500    0.2152    0.5557    0.9667    23.6347
0093    000008.3058    0.2500    0.2168    0.5535    0.9667    24.0577
0094    000008.3138    0.2500    0.2173    0.5539    0.9667    23.8216
0095    000008.3074    0.2500    0.2144    0.5559    0.9667    23.8387
0096    000008.5736    0.2500    0.2187    0.5524    0.9667    24.0135
0097    000008.7504    0.2475    0.2221    0.5525    0.9667    23.9227
0098    000008.7502    0.2450    0.2179    0.5530    0.9667    23.7345
0099    000008.7093    0.2475    0.2138    0.5454    0.9667    23.9949
0100    000008.4624    0.2475    0.2146    0.5451    0.9660    23.9486
0101    000008.3381    0.2500    0.2130    0.5422    0.9667    23.6820
0102    000009.0299    0.2525    0.2150    0.5415    0.9667    23.8929
0103    000008.3098    0.2500    0.2155    0.5402    0.9667    23.8341
0104    000008.2859    0.2500    0.2129    0.5410    0.9667    24.2467
0105    000009.2483    0.2475    0.2098    0.5446    0.9667    24.4668
0106    000008.3018    0.2500    0.2099    0.5457    0.9667    24.1917
0107    000009.5082    0.2475    0.2107    0.5449    0.9656    23.8046
0108    000008.2858    0.2500    0.2126    0.5427    0.9667    23.9270
0109    000009.1178    0.2500    0.2121    0.5453    0.9667    24.2470
0110    000008.6120    0.2525    0.2108    0.5451    0.9667    23.7567
0111    000008.3058    0.2500    0.2128    0.5458    0.9667    24.0402
0112    000009.2624    0.2500    0.2115    0.5426    0.9660    24.0161
0113    000008.2962    0.2525    0.2121    0.5430    0.9659    24.2920
0114    000008.8990    0.2500    0.2102    0.5431    0.9667    23.7418
0115    000008.5104    0.2500    0.2097    0.5450    0.9667    23.6934
0116    000009.3811    0.2500    0.2119    0.5423    0.9667    23.7116
0117    000008.2986    0.2500    0.2120    0.5423    0.9659    24.0201
0118    000009.6133    0.2500    0.2147    0.5560    0.9667    23.7829
0119    000008.5130    0.2500    0.2169    0.5549    0.9661    23.8848
0120    000008.5808    0.2475    0.2156    0.5550    0.9666    24.4828
0121    000008.3058    0.2500    0.2164    0.5548    0.9667    24.1886
0122    000008.3098    0.2500    0.2167    0.5540    0.9667    24.0376
0123    000008.8038    0.2475    0.2129    0.5565    0.9667    23.8761
0124    000008.3058    0.2500    0.2163    0.5560    0.9667    23.8843
0125    000008.3066    0.2500    0.2166    0.5558    0.9667    23.5102
0126    000008.3177    0.2500    0.2168    0.5538    0.9667    24.0936
0127    000009.0776    0.2500    0.2171    0.5553    0.9667    24.1809
0128    000008.3740    0.2475    0.2174    0.5553    0.9666    23.8113
0129    000008.3138    0.2500    0.2169    0.5547    0.9667    24.2909
0130    000008.3177    0.2500    0.2163    0.5540    0.9667    23.8230
0131    000008.3138    0.2500    0.2167    0.5536    0.9667    24.3344
0132    000008.6180    0.2500    0.2145    0.5433    0.9664    24.3051
0133    000008.4375    0.2475    0.2119    0.5444    0.9662    24.3657
0134    000008.5950    0.2500    0.2140    0.5412    0.9667    23.8968
0135    000008.3026    0.2500    0.2123    0.5419    0.9664    23.9284
0136    000008.3066    0.2500    0.2146    0.5408    0.9662    23.8742
0137    000008.3253    0.2500    0.2154    0.5544    0.9667    24.2406
0138    000008.2946    0.2525    0.2181    0.5525    0.9663    24.0115
0139    000009.4259    0.2500    0.2186    0.5523    0.9663    24.1012
0140    000008.4169    0.2500    0.2123    0.5435    0.9667    23.8319
0141    000008.2944    0.2500    0.2122    0.5430    0.9667    24.5141
0142    000008.8632    0.2500    0.2121    0.5432    0.9667    24.6164
0143    000008.8197    0.2475    0.2158    0.5541    0.9667    24.1678
0144    000009.4984    0.2475    0.2131    0.5504    0.9667    24.2207
0145    000008.3177    0.2500    0.2152    0.5502    0.9667    24.5089
0146    000008.3292    0.2500    0.2160    0.5522    0.9667    24.1794
0147    000008.4604    0.2475    0.2122    0.5419    0.9666    24.1369
0148    000009.3419    0.2500    0.2126    0.5413    0.9667    24.1313
0149    000008.2946    0.2500    0.2103    0.5428    0.9659    24.4289
0150    000008.3074    0.2500    0.2099    0.5438    0.9667    24.3223
0151    000008.2939    0.2500    0.2130    0.5411    0.9667    24.1512
0152    000008.3060    0.2500    0.2146    0.5408    0.9667    24.0179
0153    000008.2980    0.2500    0.2119    0.5418    0.9667    24.4839
0154    000008.3537    0.2500    0.2143    0.5407    0.9666    23.8484
0155    000008.2940    0.2500    0.2134    0.5437    0.9667    24.3392
0156    000008.5950    0.2500    0.2122    0.5415    0.9667    24.1551
0157    000008.4505    0.2500    0.2132    0.5422    0.9667    24.1505
0158    000008.3018    0.2500    0.2111    0.5431    0.9667    24.2719
0159    000008.3018    0.2500    0.2139    0.5418    0.9667    24.3753
0160    000008.5568    0.2525    0.2115    0.5429    0.9663    24.1014
0161    000008.8165    0.2500    0.2127    0.5428    0.9664    24.4065
0162    000009.1012    0.2475    0.2147    0.5446    0.9666    23.9907
