Namespace(alpha=2, batch_size=138, burnin=30, conv_bias=True, dataset='DNMNIST', delta_t=1, downsampling=2, epochs=401, fc_bias=True, init_gain_aux=1e-10, init_gain_conv1=1e-10, init_gain_conv2=1e-10, init_gain_conv3=1e-10, init_gain_fc=1e-10, k1=7, k2=7, k3=7, log_int=5, logfile=True, lr=5e-13, lr_div=60, n_train=64, oc1=32, oc2=64, oc3=64, padding=2, save_int=5, self_supervision=True, spike_reg=True, tau_mem_high=35, tau_mem_low=35, tau_ref_high=2.5, tau_ref_low=2.5, tau_syn_high=10, tau_syn_low=10, thr=0.0, train_samples=125, train_tau=False)
Namespace(alpha=2, batch_size=138, burnin=30, conv_bias=True, dataset='DNMNIST', delta_t=1, downsampling=2, epochs=401, fc_bias=True, init_gain_aux=1e-10, init_gain_conv1=1e-10, init_gain_conv2=1e-10, init_gain_conv3=1e-10, init_gain_fc=1e-10, k1=7, k2=7, k3=7, log_int=5, logfile=True, lr=5e-13, lr_div=60, n_train=64, oc1=32, oc2=64, oc3=64, padding=2, save_int=5, self_supervision=True, spike_reg=True, tau_mem_high=35, tau_mem_low=35, tau_ref_high=2.5, tau_ref_low=2.5, tau_syn_high=10, tau_syn_low=10, thr=0.0, train_samples=125, train_tau=False)
Start Manifold Training Backbone
8996d74e-4f37-4e63-a10b-11e415b38dc7
Epoch 3 | Batch 25/58 | Loss 9.3227 | Rotate Loss 0.8256 | Accuracy 1.616499/1.589950 | Rotate Accuracy 64.7993 | Time 14.1510
Epoch 3 | Batch 30/58 | Loss 9.3552 | Rotate Loss 0.8236 | Accuracy 1.589528/1.579600 | Rotate Accuracy 64.4226 | Time 14.1924
Epoch 3 | Batch 35/58 | Loss 9.3486 | Rotate Loss 0.8158 | Accuracy 1.731079/1.549018 | Rotate Accuracy 64.4324 | Time 14.1768
Epoch 3 | Batch 40/58 | Loss 9.3489 | Rotate Loss 0.8139 | Accuracy 1.732061/1.549772 | Rotate Accuracy 63.6797 | Time 14.2155
Epoch 3 | Batch 45/58 | Loss 9.3518 | Rotate Loss 0.8117 | Accuracy 1.654064/1.592528 | Rotate Accuracy 64.1304 | Time 14.0823
Epoch 3 | Batch 50/58 | Loss 9.4478 | Rotate Loss 0.8635 | Accuracy 1.676613/1.559703 | Rotate Accuracy 63.9670 | Time 14.0844
Epoch 3 | Batch 55/58 | Loss 9.5397 | Rotate Loss 0.9062 | Accuracy 1.591615/1.599491 | Rotate Accuracy 63.9234 | Time 14.3645
Epoch 3 : Accuracy 1.512500, Rotate Accuracy 64.425000, Time 1623.904703
Epoch 4 | Batch 0/58 | Loss 10.4873 | Rotate Loss 1.5638 | Accuracy 1.449275/1.313622 | Rotate Accuracy 58.6957 | Time 14.2784
Epoch 4 | Batch 5/58 | Loss 10.6097 | Rotate Loss 1.1659 | Accuracy 1.086957/1.578819 | Rotate Accuracy 59.9034 | Time 14.0959
Epoch 4 | Batch 10/58 | Loss 10.5491 | Rotate Loss 1.0450 | Accuracy 1.119895/1.248157 | Rotate Accuracy 63.3070 | Time 14.1867
Epoch 4 | Batch 15/58 | Loss 10.2080 | Rotate Loss 0.9934 | Accuracy 0.996377/1.138208 | Rotate Accuracy 60.9601 | Time 14.1487
Epoch 4 | Batch 20/58 | Loss 9.9627 | Rotate Loss 0.9396 | Accuracy 1.069703/1.193647 | Rotate Accuracy 62.1463 | Time 14.0608
Epoch 4 | Batch 25/58 | Loss 9.7698 | Rotate Loss 0.9066 | Accuracy 1.282051/1.372000 | Rotate Accuracy 62.6254 | Time 14.2500
Epoch 4 | Batch 30/58 | Loss 9.6898 | Rotate Loss 0.8758 | Accuracy 1.402525/1.463330 | Rotate Accuracy 63.7214 | Time 14.1401
Epoch 4 | Batch 35/58 | Loss 9.6364 | Rotate Loss 0.8594 | Accuracy 1.368760/1.491778 | Rotate Accuracy 64.5129 | Time 14.2238
Epoch 4 | Batch 40/58 | Loss 9.6486 | Rotate Loss 0.8819 | Accuracy 1.325557/1.493156 | Rotate Accuracy 63.8565 | Time 14.2202
Epoch 4 | Batch 45/58 | Loss 9.6711 | Rotate Loss 0.8751 | Accuracy 1.339004/1.479728 | Rotate Accuracy 64.0832 | Time 14.1957
Epoch 4 | Batch 50/58 | Loss 9.6414 | Rotate Loss 0.8734 | Accuracy 1.392441/1.472683 | Rotate Accuracy 64.3933 | Time 14.0545
Epoch 4 | Batch 55/58 | Loss 9.6471 | Rotate Loss 0.8725 | Accuracy 1.436335/1.539469 | Rotate Accuracy 64.7127 | Time 14.1764
Epoch 4 : Accuracy 1.587500, Rotate Accuracy 64.987500, Time 1623.897990
Epoch 5 | Batch 0/58 | Loss 9.8516 | Rotate Loss 0.8797 | Accuracy 1.449275/1.108790 | Rotate Accuracy 63.0435 | Time 14.2426
Epoch 5 | Batch 5/58 | Loss 9.3227 | Rotate Loss 0.7583 | Accuracy 1.690821/1.721664 | Rotate Accuracy 67.7536 | Time 14.2394
Epoch 5 | Batch 10/58 | Loss 9.3848 | Rotate Loss 0.6765 | Accuracy 2.305665/1.847222 | Rotate Accuracy 70.6851 | Time 14.2019
Epoch 5 | Batch 15/58 | Loss 9.3939 | Rotate Loss 0.6522 | Accuracy 2.173913/1.775017 | Rotate Accuracy 72.0109 | Time 14.1002
Epoch 5 | Batch 20/58 | Loss 9.5907 | Rotate Loss 0.6893 | Accuracy 2.208420/1.575324 | Rotate Accuracy 71.3251 | Time 14.0783
Epoch 5 | Batch 25/58 | Loss 9.5803 | Rotate Loss 0.6687 | Accuracy 2.118172/1.688857 | Rotate Accuracy 71.6834 | Time 14.1092
Epoch 5 | Batch 30/58 | Loss 9.5690 | Rotate Loss 0.6573 | Accuracy 2.103787/1.678212 | Rotate Accuracy 72.0430 | Time 14.1923
Epoch 5 | Batch 35/58 | Loss 9.5997 | Rotate Loss 0.6549 | Accuracy 2.053140/1.759124 | Rotate Accuracy 72.1014 | Time 14.2731
Epoch 5 | Batch 40/58 | Loss 9.6756 | Rotate Loss 0.7058 | Accuracy 2.050194/1.686733 | Rotate Accuracy 71.0852 | Time 14.1862
