Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Start Training
Epoch   Loss           Accuracy  S_Conv1   S_Conv2   S_Class   Time
Traceback (most recent call last):
  File "snn_dnmnist.py", line 306, in <module>
    y_data = torch.tensor([label_to_class[y.item()] for y in y_data], device = device)
  File "snn_dnmnist.py", line 306, in <listcomp>
    y_data = torch.tensor([label_to_class[y.item()] for y in y_data], device = device)
KeyError: 63
Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Start Training
Epoch   Loss           Accuracy  S_Conv1   S_Conv2   S_Class   Time
0001    001427.1013    0.1683    0.2207    0.6299    0.5304    35.5987
0002    001045.0481    0.1517    0.2194    0.6287    0.6101    34.7530
0003    000930.9940    0.1683    0.2223    0.6277    0.6368    35.1692
0004    000899.5392    0.1733    0.2222    0.6301    0.6423    34.9955
0005    000870.5248    0.1700    0.2198    0.6307    0.6434    35.1799
0006    000901.3408    0.1617    0.2267    0.6283    0.6390    34.4573
0007    000912.5942    0.1733    0.2271    0.6281    0.6436    35.3386
0008    000898.2966    0.1767    0.2241    0.6284    0.6430    35.3954
0009    000888.3360    0.1650    0.2289    0.6317    0.6431    35.0345
0010    000887.4200    0.1800    0.2245    0.6260    0.6437    35.0115
0011    000883.9518    0.1750    0.2251    0.6294    0.6444    35.0781
0012    000843.4029    0.1700    0.2225    0.6291    0.6436    35.3227
0013    000892.6198    0.1683    0.2238    0.6285    0.6444    35.3939
0014    000869.7526    0.1667    0.2233    0.6298    0.6434    34.8412
0015    000884.6281    0.1717    0.2270    0.6249    0.6444    35.3544
0016    000892.9941    0.1717    0.2239    0.6236    0.6425    35.5924
0017    000906.7551    0.1667    0.2241    0.6252    0.6444    35.2998
0018    000876.1221    0.1683    0.2255    0.6224    0.6429    35.7659
0019    000886.7079    0.1617    0.2250    0.6255    0.6438    35.5204
0020    000916.5337    0.1667    0.2260    0.6245    0.6444    35.4088
0021    000915.1700    0.1683    0.2227    0.6250    0.6440    34.7058
0022    000884.0170    0.1667    0.2266    0.6247    0.6444    35.5693
0023    000875.4026    0.1667    0.2237    0.6256    0.6438    35.1525
0024    000883.4567    0.1700    0.2232    0.6246    0.6444    35.1423
0025    000890.7311    0.1667    0.2276    0.6240    0.6444    35.0029
0026    000883.3908    0.1683    0.2277    0.6192    0.6417    35.1078
0027    000902.9257    0.1733    0.2288    0.6156    0.6405    35.0884
0028    000875.3941    0.1667    0.2270    0.6213    0.6439    35.4219
0029    000866.7445    0.1700    0.2256    0.6194    0.6435    35.3714
0030    000907.4379    0.1733    0.2293    0.6210    0.6439    34.9542
0031    000882.3703    0.1700    0.2263    0.6203    0.6439    35.1001
0032    000906.5178    0.1750    0.2277    0.6225    0.6439    35.2041
0033    000892.4944    0.1717    0.2245    0.6244    0.6444    35.7874
0034    000907.0804    0.1650    0.2235    0.6251    0.6437    35.1375
0035    000891.6429    0.1683    0.2218    0.6255    0.6444    35.8739
0036    000858.2482    0.1667    0.2223    0.6253    0.6444    35.9326
0037    000890.8830    0.1667    0.2248    0.6249    0.6444    35.2635
0038    000866.8294    0.1667    0.2196    0.6260    0.6437    35.1706
0039    000875.6886    0.1667    0.2233    0.6238    0.6444    35.1935
0040    000890.8071    0.1667    0.2224    0.6267    0.6444    35.1585
0041    000883.0177    0.1700    0.2304    0.6390    0.6444    35.0038
0042    000898.7604    0.1667    0.2229    0.6242    0.6444    35.0264
0043    000866.3452    0.1667    0.2234    0.6297    0.6436    34.9517
0044    000890.9366    0.1667    0.2268    0.6243    0.6444    34.7945
0045    000906.6150    0.1667    0.2247    0.6257    0.6440    35.9666
0046    000899.6026    0.1667    0.2303    0.6383    0.6432    35.5422
0047    000898.5195    0.1700    0.2288    0.6380    0.6419    35.0641
0048    000891.5049    0.1650    0.2271    0.6360    0.6444    34.9423
0049    000874.3849    0.1683    0.2284    0.6367    0.6444    35.0057
0050    000834.3423    0.1650    0.2230    0.6210    0.6444    35.3360
0051    000874.5555    0.1667    0.2240    0.6256    0.6444    34.6796
0052    000899.2820    0.1667    0.2256    0.6254    0.6437    35.2970
0053    000867.4205    0.1650    0.2253    0.6244    0.6444    35.6681
0054    000898.5595    0.1667    0.2254    0.6239    0.6435    34.9231
0055    000906.6031    0.1667    0.2255    0.6245    0.6443    35.5225
0056    000890.5298    0.1650    0.2262    0.6240    0.6444    36.1146
0057    000858.2593    0.1667    0.2244    0.6240    0.6444    35.3963
0058    000914.8987    0.1650    0.2246    0.6248    0.6444    35.3348
0059    000890.5079    0.1667    0.2283    0.6244    0.6436    35.1137
0060    000875.0859    0.1667    0.2237    0.6254    0.6444    35.3281
0061    000866.4147    0.1667    0.2201    0.6249    0.6444    35.2006
0062    000874.4008    0.1667    0.2192    0.6272    0.6444    35.3913
0063    000883.3358    0.1650    0.2260    0.6243    0.6443    34.8890
0064    000882.4180    0.1667    0.2250    0.6257    0.6429    35.2278
0065    000874.9168    0.1667    0.2228    0.6256    0.6444    34.5788
0066    000858.3531    0.1650    0.2214    0.6258    0.6444    35.2238
0067    000922.9758    0.1667    0.2254    0.6252    0.6444    35.0591
0068    000914.6786    0.1683    0.2272    0.6238    0.6444    35.3184
0069    000866.3769    0.1667    0.2229    0.6243    0.6444    35.6493
