Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Start Training
Epoch   Loss           Accuracy  S_Conv1   S_Conv2   S_Class   Time
Traceback (most recent call last):
  File "snn_dnmnist.py", line 306, in <module>
    y_data = torch.tensor([label_to_class[y.item()] for y in y_data], device = device)
  File "snn_dnmnist.py", line 306, in <listcomp>
    y_data = torch.tensor([label_to_class[y.item()] for y in y_data], device = device)
KeyError: 53
Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Start Training
Epoch   Loss           Accuracy  S_Conv1   S_Conv2   S_Class   Time
0001    001387.0566    0.1650    0.2217    0.6252    0.5310    34.6382
0002    001000.6344    0.1783    0.2268    0.6403    0.6188    35.4439
0003    000889.5844    0.1750    0.2277    0.6259    0.6389    34.8562
0004    000925.3824    0.1717    0.2235    0.6238    0.6344    35.4643
0005    000877.9177    0.1950    0.2249    0.6243    0.6396    35.0630
0006    000859.2202    0.1750    0.2285    0.6284    0.6388    35.4375
0007    000881.3620    0.1650    0.2282    0.6243    0.6410    41.1976
0008    000879.0389    0.1783    0.2255    0.6222    0.6414    34.4828
0009    000867.7353    0.1667    0.2293    0.6219    0.6400    34.4853
0010    000941.6744    0.1783    0.2259    0.6228    0.6440    34.9195
0011    000863.0400    0.1700    0.2267    0.6271    0.6432    35.2482
0012    000869.4735    0.1667    0.2255    0.6217    0.6426    34.9955
0013    000876.4092    0.1650    0.2284    0.6208    0.6432    34.9615
0014    000926.7389    0.1633    0.2270    0.6218    0.6426    34.8794
0015    000884.1386    0.1700    0.2291    0.6201    0.6442    34.5813
0016    000851.9992    0.1617    0.2242    0.6212    0.6444    41.9375
0017    000924.0152    0.1683    0.2263    0.6208    0.6441    35.0142
0018    000875.0096    0.1700    0.2259    0.6203    0.6444    34.8575
0019    000892.8991    0.1650    0.2279    0.6205    0.6429    34.9109
0020    000907.2879    0.1667    0.2260    0.6201    0.6444    34.9173
0021    000875.1231    0.1617    0.2239    0.6205    0.6441    34.5637
0022    000867.3157    0.1683    0.2293    0.6202    0.6439    34.7310
0023    000867.4238    0.1667    0.2263    0.6208    0.6444    34.8990
0024    000875.2300    0.1667    0.2283    0.6199    0.6439    41.2340
0025    000875.0059    0.1667    0.2275    0.6207    0.6441    34.2457
0026    000868.6453    0.1633    0.2287    0.6209    0.6424    34.9772
0027    000891.9003    0.1650    0.2271    0.6290    0.6444    34.7818
0028    000858.7241    0.1683    0.2279    0.6294    0.6433    34.8262
0029    000900.1037    0.1633    0.2285    0.6299    0.6444    35.3035
0030    000874.4764    0.1717    0.2257    0.6320    0.6440    34.7314
0031    000858.2623    0.1683    0.2266    0.6325    0.6444    34.9297
0032    000874.6402    0.1683    0.2270    0.6317    0.6444    35.1580
0033    000892.6312    0.1617    0.2269    0.6200    0.6423    41.4899
0034    000883.4445    0.1667    0.2212    0.6200    0.6442    34.9540
0035    000859.7404    0.1683    0.2234    0.6217    0.6444    34.5648
0036    000882.8165    0.1683    0.2293    0.6195    0.6444    34.6507
0037    000906.8055    0.1667    0.2268    0.6194    0.6441    34.6506
0038    000906.7320    0.1733    0.2267    0.6201    0.6444    34.6742
0039    000882.6051    0.1667    0.2278    0.6191    0.6444    34.6079
0040    000906.6190    0.1683    0.2240    0.6193    0.6444    35.1241
0041    000858.6688    0.1650    0.2263    0.6201    0.6435    43.6767
0042    000882.4564    0.1700    0.2261    0.6198    0.6444    35.1844
0043    000874.3740    0.1667    0.2263    0.6185    0.6444    34.7196
0044    000858.2897    0.1667    0.2250    0.6185    0.6444    34.3931
0045    000892.0327    0.1617    0.2247    0.6197    0.6439    34.7551
0046    000898.5796    0.1667    0.2267    0.6196    0.6444    34.7968
0047    000882.6290    0.1667    0.2233    0.6198    0.6444    34.9789
0048    000882.4649    0.1650    0.2275    0.6194    0.6440    34.8578
0049    000850.4247    0.1667    0.2270    0.6190    0.6444    42.9110
0050    000866.3179    0.1683    0.2292    0.6177    0.6444    34.9085
0051    000882.4611    0.1667    0.2263    0.6187    0.6444    34.8959
0052    000902.8747    0.1667    0.2272    0.6181    0.6420    34.8467
0053    000866.3173    0.1700    0.2289    0.6190    0.6444    34.9171
0054    000850.2301    0.1667    0.2268    0.6180    0.6444    34.7316
0055    000875.7798    0.1667    0.2266    0.6187    0.6444    35.3222
0056    000866.4623    0.1683    0.2257    0.6181    0.6444    35.0498
0057    000882.5016    0.1667    0.2286    0.6191    0.6444    34.9485
0058    000898.5557    0.1667    0.2246    0.6197    0.6444    42.1196
0059    000834.3274    0.1667    0.2229    0.6178    0.6444    35.5887
0060    000906.6223    0.1667    0.2263    0.6187    0.6440    35.4574
0061    000882.8194    0.1667    0.2293    0.6179    0.6444    35.3069
0062    000898.5714    0.1667    0.2244    0.6187    0.6444    35.0034
0063    000906.6127    0.1683    0.2285    0.6187    0.6444    34.4423
0064    000842.3295    0.1667    0.2238    0.6184    0.6444    34.3150
0065    000874.4010    0.1667    0.2246    0.6191    0.6443    34.4993
0066    000890.6036    0.1650    0.2293    0.6199    0.6444    43.1516
0067    000930.8469    0.1650    0.2242    0.6191    0.6444    35.0421
0068    000874.8531    0.1667    0.2267    0.6299    0.6444    35.0665
0069    000850.2778    0.1667    0.2325    0.6344    0.6444    34.8189
